"id","waterpurifier_name","price","original_price","rating","filtration_capacity"
694,"CUCKOO Dual Oasis 7.2 L RO + UV + UF Water Purifier","14,999","27,990","5","Filtration Capacity: 15 L/hr"
695,"Midea MWPRU080AL7 Antibacterial Replaceable Tank 8 L RO + UV Water Purifier","13,999","19,990","3.7","Filtration Capacity: 12 L/hr"
696,"Keel Mineral Ro black Camry 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","3.6","Filtration Capacity: 20 L/hr"
697,"KENT 111108B ACE Alkaline 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","25,000",NULL,NULL,"1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
698,"Pureit Wave Pro 7 L RO + MF + UV in Tank + Minerals Water Purifier Suitable for all - Borewell, Tanker...","8,999","14,999","4.4","1 Year Warranty"
699,"R.K. AQUA FRESH INDIA Novo Advanced 12Ltrs 14Stage 10 L RO + UV + UF Water Purifier","4,006","14,999","3.9","Filtration Capacity: 10 L/hr"
700,"AO Smith X4 9 L RO Water Purifier","10,999","16,750","4.2","Filtration Capacity: 15 L/hr"
701,"Keel Mineral Ro Audi 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","4.2","Filtration Capacity: 20 L/hr"
702,"Aquatec Plus Advanced Alkaline 12 L RO + UV + UF + TDS Water Purifier","7,690","15,999","4.3","Filtration Capacity: 15 L/hr"
703,"Blue Star Majesto 8 L RO + UV Water Purifier","13,499","17,900","4.1","1 Year Warranty"
704,"Aqua Fresh Panther Opel Copper India 1st BIS (IS 16240 :2023) CM/L8100159306 18 L RO + UV + UF + Coppe...","3,999","16,500","3.9","Filtration Capacity: 18 L/hr"
705,"aquadeal MIRACLE ACTIVE COPPER Mineral RO+UV+UF+TDS 15 L RO + UV + UF + TDS Water Purifier","4,449","16,999","4.2","Filtration Capacity: 15 L/hr"
706,"Aquagrand Blue Audi With Digital LED Display of purity 15 L RO + UV + UF + TDS Water Purifier","3,789","15,999","4","Filtration Capacity: 15 L/hr"
707,"Aqua Fresh MINERAL POT MUNICIPLE WATER NO TASTE CHANGE 16 L Gravity Based Water Purifier","918","2,999","3.8","WARRANTY ON MANUFACTURING DEFECT"
708,"R.K. AQUA FRESH INDIA BIO+++ ALKALINE PURIFICATION 12 L RO + UF + UV + UV_LED + TDS Control Water Puri...","4,589","16,999","3.9","6Month Warranty On All Electronic Parts Except Uv Lamp"
709,"KENT 111134B ACE Copper 8 L RO + UV + UF + TDS Control + UV in Tank + Copper Water Purifier","25,000",NULL,NULL,"1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
710,"Carrier Midea MWPRU080AL7 Antibacterial Replaceable Tank 8 L RO + UV Water Purifier","14,799","19,990","3.5","Filtration Capacity: 12 L"
711,"AQUA NYC Model RO_UV_UF_TDS_Copper Filter 12 L RO + UV + UF + Copper Water Purifier","3,896","14,500","4","Filtration Capacity: 12 L/hr"
712,"LIVPURE Linea 5 L RO + UV + Mineraliser Water Purifier","10,499","17,690","3.6","Filtration Capacity: 12 L/hr"
713,"Aquafresh White camary 12 Ltrs + copper filter 13 L RO + UV + UF + Copper + TDS Control Water Purifier...","4,199","16,500","3.8","Filtration Capacity: 20 L/hr"
714,"Hindware WR-18071UFN 7 L RO + UV + UF Water Purifier Suitable for all - Borewell, Tanker, Municipality...","5,999","14,990","3.9","Filtration Capacity: 12 L/hr"
715,"Aqua Fresh Black camry 12 Ltrs + water filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","4","Filtration Capacity: 12 L/hr"
716,"Pureit by HUL Marvella with Fruit and Veg Purifier 8 L RO + MF Water Purifier","13,499","18,500","4.2","Filtration Capacity: 12 L/hr"
717,"Aqua Fresh EPICAQUA++Needs no service for 3 years Unconditional Warranty 12 L RO + UV + CU Guard + Alk...","8,999","16,500","4","Filtration Capacity: 15 L/hr"
718,"Moonbow Oceanus 3000 7 L RO + UV + UF Water Purifier","20,999","24,990","3.6","Filtration Capacity: 12 L/hr"
719,"KENT 111109B ACE Star 8 L RO + UF + UV + UV_LED + TDS Control Water Purifier","25,500",NULL,NULL,"1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
720,"Aqua Fresh Black camry 12 Ltrs + water filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","4","Filtration Capacity: 12 L/hr"
721,"Keel Mineral Ro Copper Swift 15 ltr + Water Filter 15 L RO + UV + UF + TDS Water Purifier with Prefilt...","3,799","16,500","3.8","Filtration Capacity: 20 L/hr"
722,"Pureit by HUL Marvella with Fruit and Veg Purifier 8 L RO + MF Water Purifier","13,499","18,500","4.2","Filtration Capacity: 12 L/hr"
723,"Aqua Fresh EPICAQUA++Needs no service for 3 years Unconditional Warranty 12 L RO + UV + CU Guard + Alk...","8,999","16,500","4","Filtration Capacity: 15 L/hr"
724,"Moonbow by Hindware Achelous Premium 7 L RO + UV Water Purifier","14,580","21,490","3.5","Filtration Capacity: 12 L/hr"
725,"Keel Mineral Ro Golden Audi 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier","4,099","16,500","3.8","Filtration Capacity: 20 L/hr"
726,"Keel STYLISH COPPER CAMRY 7 L RO + UV + UF Water Purifier with Taste Enhancer 10 L RO + UV + UF + TDS ...","3,999","16,500","3.9","Filtration Capacity: 10 L/hr"
727,"Always Aqua 12 L RO + UV + UF + TDS + Acitive Copper & Zinc Booster Water Purifier 12 L RO + UV + UF +...","5,499","15,500","4.2","Filtration Capacity: 15 L/hr"
728,"Blue Star Edge Iris 6 L RO + UV Water Purifier","13,999","18,900","3.9","Filtration Capacity: 12 L/hr"
729,"Aquaultra Sophia 13 L RO + UF + UV + UV_LED + TDS Control Water Purifier","4,550","15,500","4.2","12 month Off Site"
730,"KENT 116140 8 L RO + UV + UF + TDS Water Purifier","23,400",NULL,"4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase with 3 Years Extended Service without Any Charges"
731,"CUCKOO Platina 7.5 L RO + UV Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","14,499","20,990","3.9","Filtration Capacity: 21 L/hr"
732,"Moonbow Oceanus 3000 7 L RO + UV + UF Water Purifier","20,999","24,990","3.6","Filtration Capacity: 12 L/hr"
733,"Blue Star Edge Iris 6 L RO + UV Water Purifier","11,699","18,900","3.9","Filtration Capacity: 12 L/hr"
734,"Pureit Wave Prime 7 L RO + MF Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","6,999","11,999","4.5","1 Year Warranty"
735,"Keel EPIC 10 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,NULL
736,"Grand plus AQUAQ OMEGA O D 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","12,500","3.9","Filtration Capacity: 1 L/hr"
737,"Aqua Fresh RO_UV_UF_Golden Black 12 L RO + UV + UF + TDS Water Purifier with Prefilter","4,299","12,300","4.1","Please check the physical product for the warranty period and service center details (if any)"
738,"Blair MISTY RO UV MTDS 15 L RO + UV + MTDS Water Purifier","4,912","17,690","3.8","Filtration Capacity: 15 L/hr"
739,"Aqua Fresh VENTEX B CR COPPER+ALK+RO+UV+TDS AUTOMATIC ELECTRICAL BOREWELL WATER PURIFIER 12 L RO + UV ...","3,999","15,999","3.7","Filtration Capacity: 12 L/hr"
740,"Pureit Ultima Ex 10 L RO + UV Water Purifier","20,899","22,990","3.7","1 Year Manufacturer Warranty"
741,"Aquafresh NYC W COPPER+RO+UV+TDS 15 L WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST HOME WATER PUR...","4,997","13,999","3.8","6 MONTH OFFSITE WARRANTY ON PUMP & SMPS"
742,"Prestige 49004 16 L Gravity Based Water Purifier","3,820","4,495","3.8","1 Year Warranty"
743,"Aquatec Plus Advanced Alkaline 12 L RO + UV + UF + TDS Water Purifier","7,812","15,999","4.3","Filtration Capacity: 15 L/hr"
744,"Grand plus AQUA TPT 14 STAGE 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","4","Filtration Capacity: 15 L/hr"
745,"AO Smith i1 Plus 5 L RO Water Purifier","11,499","13,800","3.8","Filtration Capacity: 15 L/hr"
746,"Grand plus NEW AUDT 12 L RO + UV + UF + TDS Water Purifier with Prefilter","4,027","16,500","3.8",NULL
747,"Keel AUDI SUPER RO+UF+TDS 10 L WATER FILTER 10 L RO + UF + TDS Water Purifier","3,995","16,500",NULL,"Filtration Capacity: 10 L/hr"
748,"trypkon BUZZ HOT + NORMAL COPPER 16 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifie...","8,920","34,999","4.2","Filtration Capacity: 20 L/hr"
749,"Blue Star Prisma 4.2 L RO + UV Water Purifier","14,999","19,900","4","1 Year Warranty"
750,"Always Gravity Based UF Water Purifier | Non Electric- 15 L with extra UF & Candle 15 L Gravity Based ...","1,799","2,999","4.1","1 Year on Manufacturing Defect only(offsite)."
751,"AQUA Epic White With Copper filter and Alkaline Vitamin B12 Filter 15 L RO + UF + Minerals + Copper Wa...","3,882","14,500","4.2","Filtration Capacity: 15 L/hr"
752,"Aqua Fresh Aquax epic smoke 12 ltr + Water Purifier 12 L RO + UV + UF + TDS Water Purifier with Prefil...","3,704","16,500","4","Filtration Capacity: 20 L/hr"
753,"nexus pure DRFT 3 COPPER+ALKALINE 14 L RO + UV + UF + TDS Water Purifier","3,599","18,999","4","Filtration Capacity: 20 L/hr"
754,"Aqua Fresh BBD SPECIAL BLK STM SWIFT 8 L RO Water Purifier","2,840","9,999","3.7","Filtration Capacity: 8 L/hr"
755,"Always Swift 15L 15 L RO + UV + UF + TDS + Alkaline Water Purifier (Blue-White) 15 L Mineral RO + UV +...","3,399","13,500","4.3","2 years warranty on electrical parts (booster pump"
756,"Blue Star Prisma 4.2 L RO + UV Water Purifier","12,399","19,900","3.7","1 Year Warranty"
757,"FESCHON Zx-14Stage Pro 2Year Warranty Tds Adjuster 12 L RO + UV + UF + Minerals Water Purifier","5,949","12,999",NULL,"2 Year warranty On All Electronic Parts Except Uv Lamp For Every Visit Customer Need To Pay 350rs Directly To Technician"
758,"AO Smith X2 Neo+ 4.5 L UV Water Purifier (Ultra Violet + Ultra Shield + Silver Activated Post Carbon) ...","8,999","12,600","4","1 Year Warranty"
759,"Keel AUDI 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
760,"R.K. AQUA FRESH INDIA Swift Plus 12 Ltrs 14stage 12 L RO + UV + UF Water Purifier","4,589","15,999","4","Filtration Capacity: 10 L/hr"
761,"FESCHON Pro Series ZX-002 2Years Warranty Copper Enriched 10 L RO + UV + UF + TDS + Copper Water Purif...","5,949","12,999",NULL,"2 Year warranty On All Electronic Parts Except Uv Lamp."
762,"Noir Aqua GLORY RO Water Purifier with B12 Alkaline Filter RO + UV + UF + TDS Control + Alkaline Filte...","6,999","12,999","4.1","Filtration Capacity: 18 L/hr"
763,"BRITA Marella XL 3.5 L Gravity Based Water Purifier","1,998","2,499","4.4","NA"
764,"Keel BLUE SWIFT 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 12 L/hr"
765,"Aqua Fresh Omega Crux Tpt 12 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
766,"Aqua Fresh Omega Golden Audy 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","16,500","4","Filtration Capacity: 10 L/hr"
767,"FESCHON Pro Series ZX-001 2Year Warranty +Tds 10 L RO + UV + UF + Minerals + Copper Water Purifier","5,949","12,999",NULL,"2 Year warranty On All Electronic Parts Except Uv Lamp For Every Visit Customer Need To Pay 350rs Directly To Technician"
768,"Kinsco Aqua Ro With Uv Laser 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","20,000","4.6","Filtration Capacity: 15 L/hr"
769,"Aqua Fresh Glam Edition 2 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + U...","6,649","16,500","5","Filtration Capacity: 15 L/hr"
770,"Keel BLACK CAMRY 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
771,"AQUA Skyland Copper Model With Digital LED Display 18 L RO + UV + UF + TDS + Copper Water Purifier","4,259","14,500","4","Filtration Capacity: 18 L/hr"
772,"Aqua Fresh Wave ACTIVE COPPER MINERAL+ro+uv+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","4,599","13,999","3.7","Filtration Capacity: 12 L/hr"
773,"Keel WHITE CAMRY 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
774,"Keel WHITE CAMRY 12 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 12 L/hr"
775,"Aqua Fresh Titanium Series 1 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV ...","5,499","16,500","4","Filtration Capacity: 8 L/hr"
776,"MarQ by Flipkart Mini opel 12 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water Purifier with P...","4,199","16,500","4.2","Filtration Capacity: 12 L/hr"
777,"Keel WHITE CAMRY 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 12 L/hr"
778,"E.F.M Golden Star 10 L RO + UV + UF + TDS Water Purifier","4,099","9,000","4.1","Filtration Capacity: 12 L/hr"
779,"Keel BLUE SWIFT 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
780,"Aqua Fresh Ventex Black COPPER+RO+UV+TDS AUTOMATIC ELECTRICAL BOREWELL WATER PURIFIER 12 L RO + UV + C...","3,999","13,999","3.9","Filtration Capacity: 12 L/hr"
781,"Keel EPIC 12 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 12 L/hr"
782,"Keel GOLDEN AUDI 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
783,"nexus pure PURE LED LIGHT BLACK COPPER + ALKALINE 10 L RO + UV + UF + TDS Water Purifier","5,669","15,499","4","Filtration Capacity: 20 L/hr"
784,"AQUA Grant RO Water Purifier 12 L RO + UF + UV + UV_LED + TDS Control Water Purifier","3,649","12,999","4.8","Filtration Capacity: 20 L/hr"
785,"Keel BLACK CAMRY 12 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 12 L/hr"
786,"Aquagrand Storm LED Indicator With Alkaline Vitamin B12 Filter 12 L RO + UV + UF + TDS + Alkaline Wate...","3,999","15,000","4","Filtration Capacity: 12 L/hr"
787,"FESCHON Pro Series ZX 2Year Warranty With Pre Filter Bowl Set FreeAlkaline Enriched 10 L RO + UV + UF ...","5,949","12,999",NULL,"2Year Warranty ON All Electronic Parts For every visit customer need to pay 350rs directly to technician"
788,"LIVPURE LIV-ZINGER-COPPER(WHITE)2K 6.5 L RO + UV + UF + Minerals + Copper Water Purifier","16,749","19,990","3.9","Filtration Capacity: 15 L/hr"
789,"Keel Mineral Ro Epic 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","3.2","Filtration Capacity: 20 L/hr"
790,"Keel COPPER SWIFT 12 L RO + UV + UF + TDS + Copper Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 12 L/hr"
791,"Keel WHITE CAMRY 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
792,"Keel Mineral Ro White Dimond 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 20 L/hr"
793,"Keel Mineral Ro TPT Dimond 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,NULL
794,"Keel Mineral Ro White Camry 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 20 L/hr"
795,"Remino Water Purifier with Active Copper and Alkaline RO+UV+UF+TDS Water Filter for Home 12 L RO + UV ...","4,631","15,999","4","Filtration Capacity: 12 L/hr"
796,"AQUA SKYLAND Model RO+UV+UF+TDS 18 L RO + UV + UF + TDS Water Purifier","3,829","14,500","3.8","Filtration Capacity: 18 L/hr"
797,"Blue Star Edge 6 L RO + UV Water Purifier","16,499","21,900","4.2","1 Year Warranty"
798,"aquadeal Aquagrand 15 L RO + UF + UV + UV_LED + TDS Control Water Purifier","5,105","15,990","4","Filtration Capacity: 15 L/hr"
799,"Keel Mineral Ro Red Swift 15 ltr + Water Filter 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","16,500","3.4","Filtration Capacity: 20 L/hr"
800,"Aquaguard Aura 2X Life 7 L RO + UV + Copper Water Purifier | Needs No Service for 2 Years | 50% Water ...","17,999","29,000","4.1","1 Year Warranty"
801,"Keel TPT DIAMOND 10 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 10 L/hr"
802,"Keel BLACK DIAMOND 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","16,500",NULL,"Filtration Capacity: 12 L/hr"
803,"Aqua Fresh Omega Copper Audy 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,910","16,500","4","Filtration Capacity: 10 L/hr"
804,"Hindware ELARA MINERALS 7 L RO + UV + UF Water Purifier","6,949","15,990","4","1 Year Comprehensive Warranty from the Date of Installation (6 Months for All Filters and 1 Year for R.O Membrane)"
805,"Keel WHITE DIAMOND 12 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 12 L/hr"
806,"Keel WHITE DIAMOND 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
807,"ALAUKIK Rapid Zinc Copper Alkaline (Made in India) with Hydrogen RO 12 L RO + UV + UF + TDS Control + ...","8,999","19,999","4.5","Filtration Capacity: 15 L/hr"
808,"Keel RED SWIFT 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
809,"Keel BLACK CAMRY 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
810,"Aqua Fresh Audi model 12 L RO + UV + UF + TDS Water Purifier with Prefilter","4,017","16,500","3.8",NULL
811,"aquadeal pure 15 L RO + UV + UF + TDS Water Purifier","4,599","15,990","4","Filtration Capacity: 15 L/hr"
812,"Keel TPT DIAMOND 12 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 12 L/hr"
813,"Aqua Fresh copper white camry 12 ltr +water filter 12 L RO + UV + UF + TDS Water Purifier","4,099","16,500",NULL,"Filtration Capacity: 12 L/hr"
814,"Keel Mineral Ro TPT Swift 15 ltr + Water Filter 15 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 20 L/hr"
815,"AquaDpure Bio-Alkaline with Pre Filter & Aqua Copper(A39 Copper Alkaline Enclosed) 12 L RO + UV + UF +...","4,949","17,899","4","Filtration Capacity: 12 L/hr"
816,"Aqua Fresh Swift_RO_UV_UF_TDS 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,809","8,999","4.3",NULL
817,"nexus pure JAZZ WHITE COPPER +ALKALINE 10 L RO + UV + UF + TDS Water Purifier","3,999","17,421","4.1","Filtration Capacity: 15 L/hr"
818,"nexus pure SWIFT 1516 16 L RO + UV + UF + TDS Water Purifier","3,608","16,999","4","Filtration Capacity: 20 L/hr"
819,"Aqua Fresh NYC MINERAL 15 L ro+uv+uf+tds+Mineral 15 L RO + UV + UF + TDS Water Purifier","3,999","12,999","3.8","Filtration Capacity: 12 L/hr"
820,"nexus pure JAZZ 3 COPPER + ALKALINE 10 L RO + UV + UF + TDS Water Purifier","3,799","16,422","4.1","Filtration Capacity: 20 L/hr"
821,"Aqua Fresh Omega New B Swift 18 L RO + UV + UF + TDS Water Purifier with Prefilter","3,899","16,500","4.1","Filtration Capacity: 10 L/hr"
822,"AQUA Fresh White NILE LED Display 12 L RO + UV + UF + TDS Water Purifier","4,799","17,500","4.8","Filtration Capacity: 12 L/hr"
823,"nexus pure JAZZ BLACK COPPER + ALKALINE 10 L RO + UV + UF + TDS Water Purifier","4,615","17,421","4","Filtration Capacity: 20 L/hr"
824,"AquaDpure Fully Automatic with Active Copper , 12 L RO + UV + UF + TDS Water Purifier","4,949","15,999","4.1","Filtration Capacity: 12 L/hr"
825,"Aqua Fresh Wave x COPPER MINERAL+ro+uv+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","4,649","13,999","3.7","1 YEAR OFFSITE WARRANTY ON ALL ELECTRONIC PARTS"
826,"R.K. AQUA FRESH INDIA 50LPH STAINESS STELL DOMESTIC PLANT FOR OFFICE AND RESTAURANT RO Water Purifier","16,523","35,999",NULL,"Filtration Capacity: 45 L/hr"
827,"AquaDpure Copper + Mineral ,Best For Home and Office 12 L RO + UV + UF + TDS Water Purifier","4,992","12,999","4","Filtration Capacity: 12 L/hr"
828,"Keel GOLDEN AUDI 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 12 L/hr"
829,"Always Aqua Pio 12 L RO + UV + UF + Copper + TDS Control Water Purifier","3,689","19,000","4.2","1 Year Offsite Warranty: Customer have to call the customer support & register their RO once it is delivered. (A)- 1 Year Warranty on all electricla parts"
830,"Aqua Ultra B12LED 12 L RO + MF Water Purifier","4,537","13,500","4","12 month"
831,"Aqua Fresh Opel 18 L RO + UV + UF + TDS Water Purifier","3,798","15,500","4","Repair:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable"
832,"Kaveri AquaFresh Storm Smart LED INDICATOR 12 L RO + UV + UF + TDS Water Purifier","3,519","14,500","4","Filtration Capacity: 12 L/hr"
833,"AquaDpure RO+UV+UF+TDS Water Purifier with Mineral Cartridge Filter 12 L RO + UV + UF + TDS Water Puri...","4,949","14,999","4.1","Filtration Capacity: 12 L/hr"
834,"Keel OPEL COPPER 18 L RO + UV + UF + Copper Guard + pH enhancer Water Purifier with Prefilter","3,899","16,500","4","Filtration Capacity: 18 L/hr"
835,"Aqua Fresh Omega audi Needs no service for 3 years Unconditional Warranty 12 L RO + UV + UF + TDS + AL...","8,999","16,500","4","Filtration Capacity: 12 L/hr"
836,"Always Rolex Active Copper Water Purifier 12 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water ...","3,399","15,500","4.6","Filtration Capacity: 15 L/hr"
837,"Aqua Fresh NYC blue mineral 15 L RO + UV + UF + TDS Water Purifier","4,999","13,999","3.9","Filtration Capacity: 12 L/hr"
838,"KENT PRIDE(11004) 8 L RO + UF Water Purifier","16,500",NULL,"4.2","Filtration Capacity: 15 L/hr"
839,"HAVELLS Max Alkaline 7 L RO + UV + Alkaline Water Purifier 8 Stages, Patented Corner/wall mounting and...","15,990","20,560","4.3","1 Year Warranty"
840,"FABER FWP GALAXY PRO PLUS BK 7 L RO + UV + MAT Water Purifier","8,990","16,990","4.3","1 year warranty on product"
841,"Aquafresh NYC W COPPER+RO+UV+TDS 15 L WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST HOME WATER PUR...","4,997","13,999","3.8","6 MONTH OFFSITE WARRANTY ON PUMP & SMPS"
842,"ALAUKIK Rapid Zinc Copper Alkaline (Made in India) with Hydrogen RO 12 L RO + UV + UF + TDS Control + ...","8,999","19,999","4.5","Filtration Capacity: 15 L/hr"
843,"Aqua Fresh Black camry 14 Ltrs + copper filter 12 L RO + UV + UF + Copper + TDS Control Water Purifier...","3,799","16,500","4.1","Filtration Capacity: 20 L/hr"
844,"Keel RED SWIFT 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
845,"Home-pro Manual Water Filter | Carbon Candle For Fast Filteration | 27 Liter Capacity 27 L Gravity Bas...","2,009","5,982","4","Filtration Capacity: 8 L/hr"
846,"AQUA EPIC Model 12 L ALKALINE FILTER+ RO + UV + UF + ALKALINE FILTER 12 L RO + UV + UF + TDS Water Pur...","4,146","15,600","4","Filtration Capacity: 12 L/hr"
847,"Kinsco Aqua 6 Stage 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","20,000","4.2","Filtration Capacity: 15 L/hr"
848,"Express Water Ritz Copper & Pro Zinc with Smart L.E.D Indicators 15 L RO + UV + UF + TDS Water Purifie...","5,499","14,990","4.4","Filtration Capacity: 18 L/hr"
849,"Hydroshell 50 LPH commercial RO + UV water purifier Plant 50 Liter Per Hour Blue Stainless steel Full ...","11,999","38,999","4.2","Filtration Capacity: 50 L/hr"
850,"AquaDart Copper ZINC + Ro + UV + UF + TDS Controller/Adjuster RO Water Purifier-12 Liter 15 L RO + UV ...","4,449","19,999","4.2","Filtration Capacity: 15 L/hr"
851,"Aqua Fresh AquaXcrux smoke 14ltr + water Filter 14 L RO + UV + UF + TDS Water Purifier with Prefilter","4,089","16,500","4","Filtration Capacity: 20 L/hr"
852,"Aqua Fresh Full Black Benza 12 L RO + UV + UF + TDS + ALK + Copper Water Purifier","3,999","16,500","3.9","Filtration Capacity: 12 L/hr"
853,"AquaDart Premium Copper RO Water Purifier With Japanese UV Lamp And High 3000 TDS Membrane 12 L RO + U...","4,999","19,999","4","1 Year Warranty On All Electric Parts I.e Booster Pump & SMPS "
854,"Always Gravity based Water mineral Filter And Purifier + 3 extra Dust Candles 15 L Gravity Based Water...","1,799","2,500","4.1","Filtration Capacity: 20 L/hr"
855,"Aqua Fresh COPPER MINERAL+ro+uv+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","4,999","13,999","3.6","Filtration Capacity: 12 L/hr"
856,"Always Steelguard RO with Stainless Steel Tank with LED display and Pre filter 10 stage 7 L RO + UV + ...","7,649","24,999","4.2","Filtration Capacity: 15 L/hr"
857,"Aqua Fresh Wave x COPPER MINERAL+ro+uv+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","4,649","13,999","3.7","1 YEAR OFFSITE WARRANTY ON ALL ELECTRONIC PARTS"
858,"Grand plus Omex Epc 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","3.8",NULL
859,"AquaDpure Copper + Alkaline RO Water Purifier Suitable for all type water supply 12 L RO + UV + UF + C...","4,939","24,599","4","Filtration Capacity: 12 L/hr"
860,"Aquatec Plus Advance plus 12 L RO + UV + UF + TDS Water Purifier","7,163","15,999","4.3","Filtration Capacity: 15 L/hr"
861,"HAVELLS Max Alkaline 7 L RO + UV + Alkaline Water Purifier 8 Stages, Patented Corner/wall mounting and...","15,990","20,560","4.3","1 Year Warranty"
862,"Aqua Fresh NYC blue mineral 15 L RO + UV + UF + TDS Water Purifier","4,999","13,999","3.9","Filtration Capacity: 12 L/hr"
863,"AquaDpure Uv+Uf+Copper+Tds Controller Water Filter for Home 12 L RO + UV + UF + Minerals + Copper Wate...","4,949","24,999","4.4","Filtration Capacity: 12 L/hr"
864,"Keel OPEL COPPER 18 L RO + UV + UF + Copper Guard + pH enhancer Water Purifier with Prefilter","3,899","16,500","4","Filtration Capacity: 18 L/hr"
865,"AquaDpure Active Copper RO Water Purifier |12 L |Purified Water with Goodness of Copper 12 L RO + UV +...","4,936","15,999","4","Filtration Capacity: 12 L/hr"
866,"Royal Aquafresh AQUA AUDI 121 LTRS 10 L RO + UV + UF + TDS Water Purifier with Prefilter","3,919","16,500","3.8","• TERMS AND CONDITION 1) Installation provided by seller charges Paid by customer RS450/- NCR Around 50 KM. "
